Quantity,Reference Designator,Model
1,R1B,"332 ohm, 0603, 1%"
1,R2B,"523 ohm, 0603, 1%"
4,"R3B, R3A, R5M, JP1","0 ohm, 0603"
1,R5B,"10.7k ohm, 0603, 1%"
1,R1A,"232 ohm, 0603, 1%"
1,R2A,"374 ohm, 0603, 1%"
1,R5A,"7.5k ohm, 0603, 1%"
2,"R1M, R2M","10k ohm, 0603, 1%"
1,R3M,"4.99k ohm, 0603, 1%"
4,"C1B, C2B, C1A, C2A","4.3nF, 0603, C0G, 5%"
5,"C9B, C9A, C3M, C4M, C9M","100nF, 0603, X7R, 20%"
3,"C1M, C2M, C101M","10µF, 6032, tantalum, 20%"
2,"U1B, U1A","AD8656, SOIC"
1,U1M,"AD8031, SOIC"
4,"J1M, J2M, J3M, J4M","67996-206HLF, 2x3 0.1"" header"
2,"J3M, J4M","65474-010LF, 0.1"" jumper"
2,"J1B, J1A","BCS-103-L-D-TE, 2x3 0.1"" socket"
2,"J5M, J6M","142-0701-851, SMA Jack, board edge female"
3,"+VS, -VS, GND","68000-101HLF, Test pin"
