Frequency,Nominal,Min,Max
2950,-3.0607129786936516,-3.265045140864828,-2.863023383734919
3000,-3.1175921884596103,-3.326407716985936,-2.9156757812578116
3050,-3.174736132592057,-3.388090939521334,-2.968545333608112
3100,-3.2321503056647827,-3.4501016298445384,-3.0216364440137546
3150,-3.2898402608188535,-3.512446690112551,-3.0749535577114555
3200,-3.3478116111480025,-3.5751331052485527,-3.1285011629057315
3300,-3.4646212579477678,-3.701558365804555,-3.236306021299229
3400,-3.5826254040173535,-3.829435023929601,-3.3450878215734097
3500,-3.7018712592970076,-3.9588221496072924,-3.4548841175257907
3600,-3.822407134458825,-4.0897803407827835,-3.5657332478214028
3700,-3.944282491411941,-4.222371796541746,-3.677674370538843
3900,-4.192255570605156,-4.492711763639047,-3.904993538013612
4000,-4.318458453902996,-4.63059337952656,-4.02045432337177
4100,-4.446211255965908,-4.7703746374766975,-4.137172660027568
4200,-4.575570020731433,-4.912126948454048,-4.255192363651575
4320,-4.733001535617583,-5.084935180036272,-4.398597064111238
4450,-4.906374491181812,-5.275619000712566,-4.556232263827564
4580,-5.082813850214159,-5.470085685127156,-4.716340568053603
4750,-5.31840214165424,-5.7303970954741725,-4.929624500890775
4880,-5.502459760917931,-5.934294195641599,-5.095857782160365
5000,-5.675505549866775,-6.1264152152251725,-5.251825594672007
5150,-5.896254933061309,-6.372096857336911,-5.450338024063476
5300,-6.122176451923401,-6.624233629256936,-5.652977537808628
5500,-6.43190977704513,-6.971062642197612,-5.929930818576914
5650,-6.670950418876694,-7.239649299622373,-6.142993955706459
5800,-6.916095566458889,-7.515926790889765,-6.360886167873601
6000,-7.2529894981914484,-7.896980419830216,-6.6593219954852625
6150,-7.513610676096143,-8.192855882672411,-6.889399154728691
6300,-7.781431639742817,-8.497896422579998,-7.125117845326086
6450,-8.056818251271604,-8.812599446236113,-7.366746837538303
6600,-8.34015560851683,-9.137491008640728,-7.614567730713861
6750,-8.631849308662007,-9.473127816693145,-7.868875742036375
6880,-8.891739665286808,-9.773159518926132,-8.094762344554171
7000,-9.137746581009171,-10.058017747638145,-8.307986252151142
7150,-9.45387752190217,-10.425286955299349,-8.58114931175873
