Frequency,Nominal,Min,Max
2950,-3.1977529277950794,-3.2012989072878284,-3.194307559018193
3000,-3.198725806051031,-3.202336033916249,-3.195218451350403
3050,-3.1996997610120044,-3.2033744524526258,-3.1961302347127027
3100,-3.2006748120975157,-3.2044141864243247,-3.1970429250323487
3150,-3.2016509788028946,-3.205455259461787,-3.197956538291728
3200,-3.2026282807007522,-3.2064976953005666,-3.198871090529413
3300,-3.2045863687596654,-3.2085867508622203,-3.2007030763812434
3400,-3.2065492344574116,-3.2106815451746047,-3.202539012060429
3500,-3.208517037309801,-3.2127822721184462,-3.2043790280069713
3600,-3.2104899382145273,-3.2148891274584894,-3.2062232556632724
3700,-3.212468099501267,-3.2170023089134308,-3.2080718275096713
3900,-3.216440860006245,-3.2212484512419257,-3.2117825391010015
4000,-3.2184357915072956,-3.2233818179717977,-3.213644949324176
4100,-3.2204366480627455,-3.2255223226793,-3.215512244769167
4200,-3.2224435999460916,-3.2276701739524674,-3.21738456365963
4320,-3.2248602303783924,-3.23025759019884,-3.2196381737659205
4450,-3.2274887801030094,-3.233073334137633,-3.22208825706496
4580,-3.23012866225284,-3.235902760741741,-3.2245476649829925
4750,-3.2335985697555776,-3.2396242324583544,-3.2277784119832846
4880,-3.2362661136305073,-3.2424870965522734,-3.2302605564291578
5000,-3.238739684936051,-3.245143322883267,-3.232560981542865
5150,-3.2418473081402075,-3.248482571769742,-3.235449360759506
5300,-3.2449729328930967,-3.251843642361459,-3.2383524982574836
5500,-3.2491695728239014,-3.256360431126194,-3.242247215541316
5650,-3.252339779419925,-3.2597756311469896,-3.245186849297503
5800,-3.2555302291773627,-3.2632154502828516,-3.2481430298224305
6000,-3.2598168672438916,-3.2678416972189988,-3.2521113085248023
6150,-3.2630573072132156,-3.271342421478807,-3.255108284743625
6300,-3.266320389358161,-3.274870782342986,-3.2581237077792427
6450,-3.269606867585245,-3.2784277331414944,-3.2611581717664055
6600,-3.27291751280939,-3.282014251211855,-3.264212282790475
6750,-3.2762531136854713,-3.285631338991803,-3.267286659374089
6880,-3.2791647775172352,-3.2887916703057254,-3.26996799940516
7000,-3.281870106468795,-3.2917305576400215,-3.2724573760917144
7150,-3.2852762546244243,-3.2954342688265137,-3.2755889181458286
7320,-3.289170466168692,-3.2996735501928707,-3.2791654149013927
7500,-3.293334396211091,-3.304212314210129,-3.282985109796301
7650,-3.2968373862472156,-3.308035427727421,-3.2861948312513904
7800,-3.300371417395483,-3.311896933685518,-3.2894295410677215
8000,-3.305133409562762,-3.317107494220843,-3.293782636208799
8200,-3.309954646824631,-3.322391598445166,-3.2981832675002947
8400,-3.314837565469502,-3.3277524378786953,-3.302633292600604
8600,-3.3197846934053983,-3.333193337982958,-3.307134631510057
8800,-3.324798655516925,-3.3387177666042254,-3.311689269957391
9000,-3.329882179364473,-3.3443293430105907,-3.3162992629821666
9200,-3.3350381012524988,-3.3500318475732485,-3.3209667387272823
9400,-3.340269372696042,-3.355829232147274,-3.3256939024568393
9600,-3.345579067317171,-3.3617256312125057,-3.3304830408158637
9800,-3.3509703882058908,-3.3677253738409574,-3.3353365263496872
10000,-3.356446675783081,-3.373832996563653,-3.340256822302278
10200,-3.36201141620644,-3.380053257216936,-3.3452464877143506
10400,-3.367668250364113,-3.3863911498562054,-3.350308182843869
10600,-3.373420983504782,-3.3928519208338557,-3.355444674933389
10800,-3.379273595557487,-3.3994410861478803,-3.360658844350788
11000,-3.385230252199411,-3.4061644501784416,-3.365953691132175
11200,-3.391295316735318,-3.413028125941672,-3.3713323419582304
