Frequency,Nominal,Min,Max
10000,864.3522548981994,848.7962158092377,880.8203810849644
10200,866.8384654230701,850.9155289965895,883.723874672792
10400,869.3968769879001,853.0949157088444,886.7132047594331
10600,872.0286209710902,855.3353620281168,889.7895205384615
10800,874.7347863283276,857.6378445102048,892.9538559182611
11000,877.5164066829409,860.0033241865556,896.2071023438206
11200,880.3744454858191,862.4327396862179,899.5499774474597
11500,884.8066764785409,866.1987191648217,904.7333869986969
11800,889.4152791064424,870.1134780804932,910.1201470185232
12000,892.5865720821048,872.8072750369869,913.8238540002377
12200,895.8373577925566,875.5690470369584,917.6167008222841
12500,900.8627031585994,879.8404295423331,923.4701081943351
12800,906.0662069005156,884.2676030100876,929.5141240870082
13000,909.63304754361,887.3060511263686,933.6443387511755
13200,913.2767997167545,890.41417128308,937.8504895766558
13500,918.8828167259918,895.2065726322483,944.2903616172791
13800,924.6499627362847,900.1537591554284,950.8662968997787
14000,928.5787902358724,903.5364521931548,955.3113166185686
14200,932.5699191571506,906.9853081426986,959.7925385855731
14500,938.6616272218728,912.278743207909,966.5530435613861
14800,944.8590810977794,917.7092047873127,973.3110433150515
15000,949.0355607496505,921.4004966061121,977.782130591217
15500,959.5548105462514,930.8466545282969,988.6578942204878
16000,970.0060808524124,940.5320351535431,998.6984458319899
16500,980.0867687061825,950.3309757312925,1007.2430556330244
17000,989.3792099153496,960.0642376056339,1013.4169405159137
17500,997.3227588987917,969.4829588857855,1016.1109439881388
18000,1003.1881316952872,978.2498904642699,1013.9969094848568
18500,1006.0625253977295,985.9190481598805,1011.6340660519394
19000,1004.8592604902686,982.4385598395127,1009.828580194255
19500,998.3703288006999,961.8681696168475,1011.7695271432564
20000,985.3801648018541,930.1917826615462,1010.008178934116
20500,964.8480393518832,886.8242710106148,1003.4615079068898
21000,936.1402207184644,835.802993612614,991.1179732823343
21500,899.2564007825166,779.3523949349636,972.1071907961812
22000,854.9681291536116,720.1948863207963,945.8723309691874
22500,804.7975381336363,661.1043699602657,916.2586106923914
23000,750.8214485414172,604.5263541343053,879.8660332980741
23500,695.3603083319418,552.3538414867692,837.2688113734346
24000,640.6546587489022,505.8620414097548,789.8426858827345
24500,588.6188279749933,465.7516829066837,739.351710190827
25000,540.7106943272787,432.242630956504,687.7132821260748
25500,497.9059134123034,405.17817849970504,636.7647184492878
26000,460.7394054103336,384.1233059098453,588.087090486666
27000,403.69103994726873,353.73763654126367,502.0864146754947
27500,383.33543290409494,344.9154668264889,466.12326274754105
28000,367.80935824095076,339.55204305896,435.22675441132014
28500,356.5198973762041,336.95576346477463,409.3608719222711
29000,348.8371150821878,336.5139821623064,388.3009171706698
29500,344.14054453160026,336.4178911536874,372.6428742119586
30000,341.8537289999889,336.8192587111773,361.9343917568656
30500,341.4655719884027,336.48923979965593,354.46369960492996
31000,342.5396591045872,336.66711738089793,357.9465451650273
31500,344.7143827164857,336.55544887364925,362.42267432364645
32000,347.697182159888,336.4312942220853,367.08218255989385
33000,355.2086094805074,339.113770802889,376.57305696605
34000,363.7690530447421,343.96842201282817,385.8943184971921
35000,372.6137079561257,350.8587636398345,394.778839758093
36000,381.31373094896014,358.7466755483664,403.10587204451514
37000,389.6419116327104,366.96124436729195,410.83609466494573
39000,404.81581025451175,382.9758356336616,424.54784447901045
40000,411.6189705972104,390.4441204596077,430.59496936960926
41000,417.9177803352045,397.4654689108279,436.1575830012132
42000,423.7416459027509,404.0271944418915,441.27774621861977
43200,430.15124342952595,411.3076125169758,446.8943321405122
44500,436.44830099292955,418.5045078701461,452.3993365989965
45800,442.1445243226281,425.04154973281476,457.37227175789525
47500,448.79852469345985,432.69890687405666,463.1775980481997
48800,453.35476845328884,437.95002866702634,467.1525475749354
50000,457.2011077362441,442.3853475659241,470.50914140456683
51500,461.57933381104687,447.43448798256446,474.3319191096695
53000,465.5363192200694,451.9965985607881,477.7894997353546
55000,470.245699805814,457.42262200971993,481.9086629985557
56500,473.409011327657,461.0641355433675,484.67853410334976
58000,476.29710320030017,464.3860084815037,487.2098220861488
60000,479.7731018336996,468.37991341588616,490.25974587408774
61500,482.1331526071975,471.0886710694062,492.3327790896906
63000,484.30660482634556,473.580959147327,494.2436441600576
64500,486.31285676015597,475.8794249947865,496.00906714103417
66000,488.1688492816112,478.0038507657737,497.6436624934722
67500,489.88942617797085,479.9715673602996,499.1602439362723
68800,491.2811832399363,481.5619804359102,500.38790247483234
70000,492.49086582131434,482.9433884714679,501.45563775625425
71500,493.9100347732361,484.5628701890299,502.7091119898565
73200,495.40458741525265,486.2669902938189,504.0301724321758
75000,496.86803538436686,487.9342221583496,505.324770304123
76500,498.00295227297477,489.226177491054,506.3294675741437
78000,499.06781138738853,490.4375673732074,507.2727385016529
80000,500.3884856398124,491.9388511485816,508.4434362243047
82000,501.60679151029336,493.3226348767644,509.52422248786866
84000,502.73320887101715,494.60105530485765,510.52422689011524
86000,503.77689789294277,495.7847084586398,511.4514380717428
88000,504.74589458654026,496.8828794438896,512.3128716289895
90000,505.6472732864809,497.90373323456026,513.1147097933399
