Frequency,Nominal,Min,Max
10000,2.7133628936465883e-8,2.5560076278897254e-8,2.8895966140673775e-8
10200,2.7667988484346922e-8,2.6016075865306535e-8,2.952332544652341e-8
10400,2.8219821130479893e-8,2.6485831609981918e-8,3.0173076470813105e-8
10600,2.8789829479620598e-8,2.6969816318304996e-8,3.0846264103872546e-8
10800,2.9378765509863958e-8,2.746853368632125e-8,3.1544013155304446e-8
11000,2.9987434353517044e-8,2.798252036021374e-8,3.226753536156374e-8
11200,3.061669846160644e-8,2.851234818231135e-8,3.301813718866979e-8
11500,3.1601250956266144e-8,2.9338136279067986e-8,3.4197929022305534e-8
11800,3.2637646549166284e-8,3.020317803123681e-8,3.544709603008185e-8
12000,3.3359233878919614e-8,3.080288360980498e-8,3.632130258971461e-8
12200,3.410676738028742e-8,3.142191187792304e-8,3.723088538768415e-8
12500,3.527963588850144e-8,3.238854518218325e-8,3.866623017433414e-8
12800,3.6518782584966136e-8,3.340366295893401e-8,4.019381051000482e-8
13000,3.7384387134276156e-8,3.4109022183155316e-8,4.1267812255494825e-8
13200,3.82836670244586e-8,3.483855245496817e-8,4.238972003039771e-8
13500,3.9700012078027625e-8,3.598078738400925e-8,4.4169568836102926e-8
13800,4.120376922906779e-8,3.718447663027832e-8,4.607683348432983e-8
14000,4.225884065893175e-8,3.8023465687409246e-8,4.742602726710134e-8
14200,4.335907853868762e-8,3.8893510956524555e-8,4.8842815179378516e-8
14500,4.510062476131461e-8,4.026058419416602e-8,5.110630295907342e-8
14800,4.6961563643116426e-8,4.17077650287153e-8,5.355379802221007e-8
15000,4.827471871824542e-8,4.2720549995261934e-8,5.529911540374962e-8
15500,5.1843052753333434e-8,4.5437936650542406e-8,6.011990202707187e-8
16000,5.588423229131773e-8,4.845519288883875e-8,6.572103058567568e-8
16500,6.049925128121614e-8,5.182493399426263e-8,7.230663336921293e-8
17000,6.581954055363863e-8,5.561304436841912e-8,8.015439724480707e-8
17500,7.20184232387221e-8,5.990291890340275e-8,8.964790424055621e-8
18000,7.932758006593545e-8,6.480131599600114e-8,1.0132507502740387e-7
18500,8.806093123916593e-8,7.044650850586356e-8,1.1595128236878923e-7
19000,9.864955720305984e-8,7.701973371253447e-8,1.3463022781734755e-7
19500,1.1169310533194924e-7,8.476140805399262e-8,1.58971998572606e-7
20000,1.2803581211954666e-7,9.399425797020776e-8,1.91344685406128e-7
20500,1.488790031550055e-7,1.0515652425235269e-7,2.3523588491372399e-7
21000,1.759463561506133e-7,1.1884985315377217e-7,2.957109598154586e-7
21500,2.117205560723019e-7,1.3590852216558866e-7,3.797606119936953e-7
22000,2.597587201648379e-7,1.574992479890478e-7,4.95641677404012e-7
22500,3.250289786598342e-7,1.852633126241718e-7,6.48565130755793e-7
23000,4.139697149910415e-7,2.2151207700946254e-7,8.287822747617351e-7
23500,5.332685957209053e-7,2.6947249388197976e-7,0.0000010045432400598423
24000,6.849963632874656e-7,3.3351803596312395e-7,0.0000011628921317861315
24500,8.561036073736101e-7,4.1912286015136554e-7,0.0000013306132796638521
25000,0.0000010115452125029553,5.317594065882987e-7,0.0000015306210493733044
25500,0.0000011147080150666325,5.31784102047208e-7,0.000001724498461093925
26000,0.000001160303380192521,5.2335765004308e-7,0.000001975194943973142
27000,0.0000011622535180631288,5.270532145196655e-7,0.0000024152845261186155
27500,0.0000011510339662004443,5.374565169927408e-7,0.0000025311828911554126
28000,0.000001139848664871331,5.31927201143306e-7,0.0000025536424888250422
28500,0.0000011297656295579037,5.216282840694904e-7,0.0000025574596209642133
29000,0.0000011207169541219916,5.138372335204753e-7,0.0000025504789715611555
29500,0.0000011124023274472395,5.084587168697716e-7,0.000002540882847960644
30000,0.00000110458785472142,5.053621307551507e-7,0.0000025215967374638006
30500,0.0000010971765376141154,5.043715064629174e-7,0.000002495159927953165
