Frequency,Nominal,Min,Max
10000,-382.4186711108664,-384.196779123924,-380.7579577757897
10200,-382.98614468569684,-384.82790215249383,-381.2690869191298
10400,-383.56205292799547,-385.469700281304,-381.7868677226679
10600,-384.1467193002694,-386.12261279171696,-382.3115388049181
10800,-384.7404804910117,-386.7870991081921,-382.8433474648944
11000,-385.34368718996814,-387.46364009647175,-383.3825501463474
11200,-385.9567049169073,-388.1527394618746,-383.92941293067855
11500,-386.8954656698197,-389.2110976380189,-384.7646769961583
11800,-387.8585209836702,-390.3007999856039,-385.61877851460474
12000,-388.5147670223723,-391.045682085806,-386.19915432679306
12200,-389.18290750303487,-391.80604091914154,-386.788684766403
12500,-390.2084666682487,-392.9770889729131,-387.6908845516199
12800,-391.2635652860068,-394.1869328896246,-388.6156368524913
13000,-391.98427208139395,-395.0163464595002,-389.2452926562409
13200,-392.7194919985997,-395.86501353010823,-389.88593344412624
13500,-393.8508643338387,-397.17607105094885,-390.8684054603445
13800,-395.01843149574853,-398.5356809381081,-391.87801587110476
14000,-395.8180697251944,-399.4707856199948,-392.56694564768014
14200,-396.63557708029674,-400.4301499981852,-393.2691382112078
14500,-397.8970695419037,-401.91731895914216,-394.3484440112001
14800,-399.20337717152404,-403.4661478176639,-395.460644160069
15000,-400.10065862303713,-404.5353134102859,-396.221374335874
15500,-402.4435670783494,-407.34787780989495,-398.19531664811416
16000,-404.94286469240967,-410.3824388796614,-400.2811563303255
16500,-407.61847499620217,-413.6718682496601,-402.4913290249206
17000,-410.49383684860317,-417.2559994031962,-404.84012462016136
17500,-413.5967674690126,-421.18370710259774,-407.34406834931883
18000,-416.96060512057005,-425.5158148874574,-410.0224037967851
18500,-420.62574678427336,-430.3292466057795,-412.8977123930821
19000,-424.64175385470196,-435.72308179002374,-415.99671835621064
19500,-429.0702894802823,-441.82756375406575,-419.3513494496797
20000,-433.9892939582566,-448.8176915093035,-423.0001562395954
20500,-439.4990271430796,-456.9337267296716,-426.99024180431695
21000,-445.7309385040626,-466.51104722080106,-431.379929392242
21500,-452.8607562711735,-478.0179686834284,-436.24251084284015
22000,-461.1274953923139,-492.08045014837313,-441.6715903678308
22500,-470.8592126818311,-509.40569842402437,-447.78877647276374
23000,-482.50040084444413,-530.3875215744514,-454.75474003417696
23500,-496.61329049871347,-554.283473374304,-462.7847088101782
24000,-513.7640191079366,-578.8915143071715,-472.1683805441478
24500,-534.1274371657088,-601.9528883694578,-483.2890124783721
25000,-556.8450482814517,-622.60264758155,-496.6191313848281
25500,-579.9699731205155,-641.0985971923945,-512.6280650904287
26000,-601.6636763955117,-658.0048199082021,-531.4880632947384
27000,-638.8396601309014,-688.8094752239984,-574.4116461989905
27500,-654.9813259381347,-703.2483004979857,-595.2866983020218
28000,-670.0649169903533,-717.2603288440287,-614.3538560915446
28500,-684.3885615152036,-730.9525417722759,-631.5903897687244
29000,-698.1520817317086,-744.4137844708312,-647.3445438581947
29500,-711.4916769164506,-757.7285396381617,-661.9971690415829
30000,-724.5065593836955,-770.9902371878509,-675.846243343192
30500,-737.2759946534143,-784.3159701692625,-689.1004760131932
31000,-749.8706312417203,-797.8607809716999,-701.903072997776
31500,-762.3621335882912,-811.8251875898085,-714.3556821607668
32000,-774.8334589153594,-826.4426469751505,-726.5354521219747
33000,-800.1691279481809,-858.3325595346314,-750.3255622377688
34000,-827.1094386762586,-892.5195435729725,-773.7576465648352
35000,-856.9828145395794,-923.4815226986155,-797.4620731744362
36000,-889.0527786925485,-947.3229681538658,-822.4258082666477
37000,-918.841313596384,-964.7545128343334,-849.8231655260213
39000,-960.2617382483241,-987.7507763929559,-908.8304592303256
40000,-973.5755734409082,-995.7419898615805,-933.4360147077385
41000,-983.8887214559888,-1002.2940840379498,-952.3955479138547
42000,-992.1291924830267,-1007.7845913311943,-966.7837409657086
43200,-1000.1011518394345,-1013.3227826436982,-979.8561698122338
44500,-1007.065746337698,-1018.346687553816,-990.5951243289157
45800,-1012.7830060486481,-1022.6004023370527,-998.976253392019
47500,-1018.9040337463042,-1027.2834485849748,-1007.5633979930666
48800,-1022.8120388249924,-1030.3427438538467,-1012.8588604261557
50000,-1025.961208879205,-1032.847202852416,-1017.0294009047225
51500,-1029.4025203471053,-1035.6239440864601,-1021.4949518946902
53000,-1032.3999857276717,-1038.0765603194573,-1025.3110679282886
55000,-1035.8504568960077,-1040.9391377686125,-1029.624157486584
56500,-1038.1086374861577,-1042.835434187898,-1032.4029188630502
58000,-1040.1359874691364,-1044.553390623514,-1034.8692114986645
60000,-1042.5409241416048,-1046.6104551621343,-1037.7611199080247
61500,-1044.156862831087,-1048.0044109597895,-1039.6842909253076
63000,-1045.6363715114699,-1049.2899273037517,-1041.4313533330078
64500,-1046.9972457928886,-1050.4797906323554,-1043.0269452831901
66000,-1048.254252284169,-1051.584937819026,-1044.4912204659986
67500,-1049.4197538781068,-1052.6149191651195,-1045.8408362101718
68800,-1050.3639452657667,-1053.453088326322,-1046.9285570901131
70000,-1051.18653669848,-1054.1860851621996,-1047.8721288285071
71500,-1052.1549259641074,-1055.0523425249535,-1048.978131034578
73200,-1053.1800638907102,-1055.9733472054368,-1050.1433226627535
75000,-1054.1907905931873,-1056.8854701313658,-1051.2865146472714
76500,-1054.9805075540785,-1057.600993596247,-1052.1758725777215
78000,-1055.727087359862,-1058.2797635253496,-1053.013552576978
80000,-1056.6619256922595,-1059.1329358215635,-1054.058233252734
82000,-1057.534584743798,-1059.9326710975658,-1055.029196308198
84000,-1058.3517242361856,-1060.6844808722492,-1055.9346871771377
86000,-1059.119062859184,-1061.393125293231,-1056.7817374303343
88000,-1059.8415408707388,-1062.0627386223318,-1057.5763828410666
90000,-1060.5234498756197,-1062.696930202764,-1058.3238357592675
